Id,Label,in_strength,out_strength,out_degree,degree,in_degree_centrality,b,out_degree_centrality,size,closeness_centrality,strength,g,betweenness_centrality,in_degree,page_rank,r,degree_centrality,y,x
n2540,LIP,0.322607241,0.929133857,13,20,6.59382064808E-4,153,0.00122456669179,10.0,0.00780235644333,1.251741098,153,9.73477054161E-5,7,1.41041525428E-4,153,0.00188394875659,356.72418,-143.13034
n5010,ZENITH,0.0,0.884892068,7,7,0.0,153,6.59382064808E-4,10.0,0.00792171399743,0.884892068,153,0.0,0,2.87345249016E-5,153,6.59382064808E-4,159.44391,105.3985
n4421,TARZAN,0.075025279,0.940397355,9,12,2.82592313489E-4,153,8.47776940467E-4,10.0,0.00748476380867,1.015422634,153,5.37054068531E-5,3,3.83538871567E-5,153,0.00113036925396,-392.3066,269.87665
n2541,LIPS,0.282604831,0.856164365,13,19,5.65184626978E-4,153,0.00122456669179,10.0,0.00773697332793,1.138769196,153,1.73326835204E-4,6,4.43339962656E-5,153,0.00178975131876,156.35248,-35.507843
n6690,ELIXIR,0.02027027,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.02027027,153,0.0,1,2.99265377616E-5,153,9.41974378297E-5,-291.20117,426.04254
n4420,TART,0.322914184,0.871621628,17,23,5.65184626978E-4,153,0.0016013564431,10.0,0.00759951747902,1.194535812,153,2.79282314025E-4,6,5.91892494803E-5,153,0.00216654107008,-198.62762,-465.14236
n2096,HERE,1.932497341,0.907894686,4,28,0.00226073850791,153,3.76789751319E-4,10.0,0.00627672095381,2.840392027,153,5.67136905482E-5,24,5.66140078624E-4,153,0.00263752825923,-88.5726,220.04553
n2542,LIPSTICK,0.312865105,0.822368413,11,17,5.65184626978E-4,153,0.00103617181613,10.0,0.00789991351966,1.135233518,153,3.86639883772E-5,6,4.79407851326E-5,153,0.0016013564431,298.78772,-22.186096
n7577,INEPT,0.04605263,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.04605263,153,0.0,1,3.01958464861E-5,153,9.41974378297E-5,-201.99783,-190.0094
n2094,HERB,0.196871525,0.778523492,17,24,6.59382064808E-4,153,0.0016013564431,10.0,0.00777336510416,0.975395017,153,2.86825208246E-4,7,4.03709323596E-5,153,0.00226073850791,278.7995,338.15887
n2119,HISTORY,0.456344014,0.736111123,21,39,0.00169555388093,153,0.00197814619442,10.0,0.0077912584973,1.192455137,153,7.63358643145E-4,18,5.69901232721E-5,153,0.00367370007536,166.77258,229.90222
n2118,HISPANIC,0.077027028,0.77483444,18,20,1.88394875659E-4,153,0.00169555388093,10.0,0.00767014784636,0.851861468,153,1.34050541296E-4,2,3.19406915839E-5,153,0.00188394875659,-14.117462,446.9029
n7433,HOTLINE,0.013986014,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.013986014,153,0.0,1,2.97820199235E-5,153,9.41974378297E-5,-55.328857,-256.0646
n7432,HOT  DOGS,0.013071896,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.013071896,153,0.0,1,2.9267582099E-5,153,9.41974378297E-5,196.37433,-54.685913
n7431,HOSTILE,0.030792738,0.0,0,2,1.88394875659E-4,153,0.0,10.0,0.0,0.030792738,153,0.0,2,3.63640191052E-5,153,1.88394875659E-4,-38.052002,66.80847
n7430,HOSPITALITY,0.04707483,0.0,0,2,1.88394875659E-4,153,0.0,10.0,0.0,0.04707483,153,0.0,2,3.1272724871E-5,153,1.88394875659E-4,-115.043335,283.05945
n7437,HOUSEKEEPER,0.016759777,0.0,0,1,9.41974378297E-5,153,0.0,10.0,0.0,0.016759777,153,0.0,1,3.04251953933E-5,153,9.41974378297E-5,-68.82657,47.841248
